%time,field.x,field.y,field.z
1456328984250080108,2.13429510593e-05,-2.40851044655e-05,-2.01831459999e-05
1456328984270176887,2.17016860843e-05,-2.424249053e-05,-2.00022727251e-05
1456328984290369033,2.1931950748e-05,-2.40868479013e-05,-1.97549134493e-05
1456328984310532093,2.22494527698e-05,-2.41776451468e-05,-1.93992882967e-05
1456328984331737995,2.27888837457e-05,-2.40720957518e-05,-1.87489613891e-05
1456328984351800918,2.32652038336e-05,-2.41204187274e-05,-1.82248219848e-05
1456328984371937036,2.36867725849e-05,-2.40833476186e-05,-1.78783535957e-05
1456328984392086029,2.38921791315e-05,-2.40459233522e-05,-1.75094097853e-05
1456328984412331104,2.42243900895e-05,-2.41020068526e-05,-1.69701695442e-05
1456328984432372093,2.46046572924e-05,-2.41262152791e-05,-1.64390623569e-05
1456328984452486991,2.4983972311e-05,-2.40924224257e-05,-1.57728001475e-05
1456328984472707986,2.53174841404e-05,-2.40952298045e-05,-1.54183626175e-05
1456328984493863105,2.54121214151e-05,-2.41643890738e-05,-1.52246505022e-05
1456328984514173984,2.56090611219e-05,-2.42780029774e-05,-1.47895291448e-05
1456328984534101009,2.58152723312e-05,-2.40742474794e-05,-1.4535048604e-05
1456328984554255008,2.60846167803e-05,-2.40607008338e-05,-1.41572996974e-05
1456328984574387073,2.6130348444e-05,-2.42239624262e-05,-1.38345271349e-05
1456328984595191955,2.62883126736e-05,-2.42197141051e-05,-1.35454371572e-05
1456328984614779949,2.65906721354e-05,-2.42242902517e-05,-1.33112087846e-05
1456328984634664058,2.67644107342e-05,-2.4243567884e-05,-1.29896566272e-05
1456328984655061960,2.67003566027e-05,-2.42194518447e-05,-1.29824638367e-05
1456328984674897909,2.67378807068e-05,-2.41582646966e-05,-1.26310557127e-05
1456328984696485996,2.69198387861e-05,-2.42740049958e-05,-1.23400278389e-05
1456328984716583013,2.71331816912e-05,-2.42844551802e-05,-1.19623191655e-05
1456328984736547946,2.72441118956e-05,-2.4250215292e-05,-1.18100233376e-05
1456328984756814002,2.74159342051e-05,-2.42654800415e-05,-1.12165093422e-05
1456328984776941061,2.76296854019e-05,-2.41647705436e-05,-1.08964458108e-05
1456328984797178983,2.75887876749e-05,-2.41468831897e-05,-1.07689805329e-05
1456328984817217111,2.78016209602e-05,-2.41642728448e-05,-1.03191651404e-05
1456328984837285041,2.80231893063e-05,-2.41991922259e-05,-9.97304320335e-06
1456328984858496904,2.80293405056e-05,-2.41073071957e-05,-9.71031934023e-06
1456328984878451108,2.81389534473e-05,-2.42703318596e-05,-9.37109813094e-06
1456328984898555994,2.82586723566e-05,-2.42217481136e-05,-9.33096557856e-06
1456328984918777942,2.82970845699e-05,-2.43144318461e-05,-9.10529792309e-06
1456328984938997030,2.84153968096e-05,-2.42468997836e-05,-8.86542797089e-06
1456328984959196090,2.85416036844e-05,-2.41391345859e-05,-8.61009508371e-06
1456328984980262994,2.84926503897e-05,-2.41051316261e-05,-8.47492292523e-06
1456328985000525951,2.87697017193e-05,-2.4194984138e-05,-8.05559083819e-06
1456328985020792007,2.87198483944e-05,-2.4159091711e-05,-7.79243484139e-06
1456328985040851116,2.89188891649e-05,-2.41010919213e-05,-7.65587091446e-06
1456328985061058044,2.89728075266e-05,-2.4024733901e-05,-7.36057907343e-06
1456328985081049919,2.89630949497e-05,-2.42531687021e-05,-7.11724460125e-06
1456328985101294994,2.9192507267e-05,-2.41437494755e-05,-6.74919337034e-06
1456328985122494935,2.91421920061e-05,-2.42269024253e-05,-6.42027780414e-06
1456328985142669916,2.92039394379e-05,-2.4190184474e-05,-6.10034130514e-06
1456328985162734985,2.93145239353e-05,-2.42032334208e-05,-5.89934326708e-06
1456328985182878017,2.93044984341e-05,-2.4158988893e-05,-5.61202764511e-06
1456328985203069925,2.94065326452e-05,-2.40988641977e-05,-5.33215887845e-06
1456328985223184108,2.95566141605e-05,-2.4094851315e-05,-5.05912415683e-06
1456328985244549989,2.96341300011e-05,-2.40736603737e-05,-4.70684431493e-06
1456328985266422986,2.97685235739e-05,-2.42943316698e-05,-4.47861105204e-06
1456328985286655902,2.9718953371e-05,-2.42430314422e-05,-4.25568707287e-06
1456328985306852102,2.98608779907e-05,-2.41586744785e-05,-3.95989231765e-06
1456328985326997041,2.98029094934e-05,-2.40905508399e-05,-3.681268543e-06
1456328985347425937,2.98807621002e-05,-2.41340607405e-05,-3.37603762746e-06
1456328985369357109,3.0036303401e-05,-2.41647318006e-05,-2.7424050495e-06
1456328985389466047,3.00792723894e-05,-2.43062138557e-05,-2.02791951597e-06
1456328985410065889,3.01000773907e-05,-2.41155073047e-05,-1.57452579588e-06
1456328985429881095,3.01918953657e-05,-2.41867646575e-05,-9.80748608708e-07
1456328985450212955,3.0157750845e-05,-2.42142766714e-05,-6.76542613655e-07
1456328985472721099,3.03136259317e-05,-2.43016496301e-05,-9.00772924069e-08
1456328985493253946,3.02292943001e-05,-2.41885736585e-05,5.23742614314e-07
1456328985513626098,3.02829861641e-05,-2.41837352514e-05,8.52093286812e-07
1456328985533646106,3.02241325378e-05,-2.39937365055e-05,1.25692989677e-06
1456328985553801059,3.03177952766e-05,-2.42528691888e-05,1.58945675939e-06
1456328985573915958,3.02272468805e-05,-2.43755444884e-05,1.95067692548e-06
1456328985594116926,3.03701907396e-05,-2.41653248668e-05,2.10060290992e-06
1456328985615144014,3.04087132215e-05,-2.42982417345e-05,2.31086295098e-06
1456328985635080099,3.03253948689e-05,-2.42112874985e-05,2.7810562402e-06
1456328985655374050,3.02276492119e-05,-2.42636233568e-05,3.02917286754e-06
1456328985675473928,3.01855802536e-05,-2.41152718663e-05,3.32272723317e-06
1456328985695725917,3.01730722189e-05,-2.40898326039e-05,3.96234951913e-06
1456328985715898036,3.01856219769e-05,-2.42106184363e-05,4.4522844255e-06
1456328985736072063,3.00784111023e-05,-2.42118909955e-05,4.90760952234e-06
1456328985756949901,2.98977345228e-05,-2.42340907454e-05,5.57075254619e-06
1456328985777430057,2.99190253019e-05,-2.42604225874e-05,5.95534257591e-06
1456328985797485113,2.9827696085e-05,-2.43094533682e-05,6.42748624086e-06
1456328985817747116,2.98241555691e-05,-2.4214027822e-05,6.93012028933e-06
1456328985837779998,2.97192037106e-05,-2.41960242391e-05,7.06513300538e-06
1456328985857928037,2.96454071999e-05,-2.41602510214e-05,7.32012018561e-06
1456328985877852916,2.95224100351e-05,-2.42259889841e-05,7.74428024888e-06
1456328985898912906,2.94257998466e-05,-2.41846948862e-05,7.8310020268e-06
1456328985919286012,2.94476002455e-05,-2.41960898042e-05,8.14336538315e-06
1456328985939759969,2.93165594339e-05,-2.41897165775e-05,8.57440531254e-06
1456328985961947917,2.93470412493e-05,-2.41705328226e-05,8.7903663516e-06
1456328985984026908,2.91445702314e-05,-2.41173446178e-05,9.14020165801e-06
1456328986004024028,2.90947139263e-05,-2.4105450511e-05,9.40371081233e-06
1456328986024084091,2.90122389793e-05,-2.4068261683e-05,9.75462794304e-06
1456328986044317007,2.89391100407e-05,-2.4089898169e-05,9.91445332766e-06
1456328986064369916,2.88721174002e-05,-2.41556361318e-05,1.03390082717e-05
1456328986084475040,2.87431806326e-05,-2.39936485887e-05,1.04717284441e-05
1456328986104595899,2.86053746939e-05,-2.40378662944e-05,1.07274435461e-05
1456328986125827074,2.85085678101e-05,-2.42201924324e-05,1.08414664865e-05
1456328986146101951,2.85722523928e-05,-2.4003508687e-05,1.08867250383e-05
1456328986166291952,2.84431278706e-05,-2.40011483431e-05,1.10458023846e-05
1456328986186332941,2.84567117691e-05,-2.39320799708e-05,1.13889239728e-05
1456328986206552028,2.82403707504e-05,-2.40193620324e-05,1.14366941154e-05
1456328986226557970,2.83261626959e-05,-2.40707546473e-05,1.17500990629e-05
1456328986246779918,2.80115455389e-05,-2.38652288914e-05,1.21209003031e-05
1456328986267904996,2.80019342899e-05,-2.41578936577e-05,1.23491801322e-05
1456328986288103103,2.7791005373e-05,-2.41997510195e-05,1.27643674612e-05
1456328986308187961,2.75233566761e-05,-2.41040885448e-05,1.32811412215e-05
1456328986328315973,2.72150307894e-05,-2.40550071001e-05,1.38943269849e-05
1456328986348433017,2.69084513187e-05,-2.40015819669e-05,1.42594262958e-05
1456328986368696928,2.67694503069e-05,-2.4171307683e-05,1.46850079298e-05
1456328986389470100,2.65188276768e-05,-2.39657834172e-05,1.50562614202e-05
1456328986410017967,2.6324352622e-05,-2.39685893059e-05,1.54069796205e-05
1456328986430151939,2.61312752962e-05,-2.40703359246e-05,1.55591398478e-05
1456328986450270891,2.59120672941e-05,-2.40876063704e-05,1.60139113665e-05
1456328986470462083,2.55576580763e-05,-2.40185394883e-05,1.63544416428e-05
1456328986491708040,2.54195183516e-05,-2.40300521255e-05,1.66576787829e-05
1456328986511687040,2.51700103283e-05,-2.39628717303e-05,1.68709591031e-05
1456328986531838893,2.50490933657e-05,-2.41369649768e-05,1.70006930828e-05
1456328986552076101,2.49739989638e-05,-2.41144746542e-05,1.7439891398e-05
1456328986572216987,2.47325405478e-05,-2.40954086185e-05,1.76459357142e-05
1456328986592219114,2.43793189526e-05,-2.39968240261e-05,1.78180173039e-05
1456328986612765073,2.42656171322e-05,-2.4129268527e-05,1.80592030287e-05
1456328986634680986,2.40472003818e-05,-2.41081938148e-05,1.84013992548e-05
1456328986654510974,2.37168505788e-05,-2.40392446518e-05,1.87340989709e-05
1456328986674829006,2.34261333942e-05,-2.42015615106e-05,1.91184952855e-05
1456328986694930076,2.31534808874e-05,-2.40401625633e-05,1.92102074623e-05
1456328986715186119,2.2894500196e-05,-2.40419074893e-05,1.96324646473e-05
1456328986735450029,2.24923729897e-05,-2.39814281464e-05,1.99327811599e-05
1456328986755506992,2.24434018135e-05,-2.41314053535e-05,2.00706660748e-05
1456328986776798963,2.22820058465e-05,-2.40564629436e-05,2.02684506774e-05
1456328986796960115,2.21217766404e-05,-2.41119846702e-05,2.03001454473e-05
1456328986817289113,2.18483865261e-05,-2.39890471101e-05,2.04964324832e-05
1456328986839063882,2.16626942158e-05,-2.40575000644e-05,2.07361668348e-05
1456328986859368085,2.138055861e-05,-2.40530148149e-05,2.10381537676e-05
1456328986882139921,2.11314380169e-05,-2.40506544709e-05,2.1196384728e-05
